"asset","asset_type","proposed_package","confidence","lines","exported_functions_detected","rationale"
"src/riem_dcx.cpp","src","geosmooth","high",978,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/se_tree_r.cpp","src","undecided","low",269,"","Needs manual review."
"src/se_tree.cpp","src","undecided","low",316,"","Needs manual review."
"src/set_wgraph_basins_r.cpp","src","gflow","high",574,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/set_wgraph_basins_rtcb_r.cpp","src","gflow","high",918,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/set_wgraph_basins.cpp","src","gflow","high",518,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"src/set_wgraph.cpp","src","gflow","medium",1490,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/SEXP_cpp_conversion_utils.cpp","src","shared","medium",1381,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/shortest_path_utils.cpp","src","gflow","medium",583,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/sknn_graphs.cpp","src","gflow","medium",927,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/sort_utils.cpp","src","shared","medium",32,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/ssrhe_hessian_energy_r.h","src","geosmooth","high",30,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/ssrhe_hessian_energy.cpp","src","geosmooth","high",834,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/stats_utils.c","src","shared","medium",1607,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"src/traj_clustering_r.cpp","src","gflowx","medium",195,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/traj_clustering.cpp","src","gflowx","medium",447,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/tube_lens_corridor.cpp","src","undecided","low",333,"","Needs manual review."
"src/uggmalo.cpp","src","gflowx","high",736,"","Older or experimental conditional-expectation method family; candidate for GitHub-only archive unless still central."
"src/ulm.cpp","src","undecided","low",691,"","Needs manual review."
"src/ulogit.cpp","src","geosmooth","high",1207,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"src/uniform_grid_graph.cpp","src","gflow","medium",1901,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"src/vertex_density_r.cpp","src","undecided","low",83,"","Needs manual review."
"src/wasserstein_dist.c","src","gflowx","medium",64,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/wasserstein_perm_test.cpp","src","gflowx","medium",144,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"src/weighted_correlation.cpp","src","undecided","low",119,"","Needs manual review."
"tests/testthat/helper-linf-simplex-oracle.R","tests","shared","medium",121,"","Test helper; final home depends on tests retained by each split package."
"tests/testthat/helper-nerve-utils.R","tests","shared","medium",81,"","Test helper; final home depends on tests retained by each split package."
"tests/testthat/test-basin-summary-cpp.R","tests","gflow","high",135,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"tests/testthat/test-component-mst-connectivity.R","tests","gflow","high",163,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-compute-gfc-geometric-filter.R","tests","gflow","high",104,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"tests/testthat/test-compute-gfc-summary-harmonization.R","tests","gflow","high",105,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"tests/testthat/test-congruence-with-labels.R","tests","undecided","low",20,"","Needs manual review."
"tests/testthat/test-diffusion-pseudotime-sparse.R","tests","gflow","medium",174,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"tests/testthat/test-distance-graph-helpers.R","tests","gflow","high",198,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-geodesic-iknn-graphs.R","tests","gflow","high",103,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-global-geodesic-ratio-pruning.R","tests","gflow","medium",285,"","Graph, geodesic, geometry, dimensionality, or gradient-flow infrastructure."
"tests/testthat/test-graph-cltr-imputation.R","tests","gflow","high",35,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-graph-endpoint-geometry.R","tests","gflow","high",249,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-graph-geodesic-distances.R","tests","gflow","high",293,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-graph-summary-divergence.R","tests","gflow","high",141,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-graph-trend-filtering.R","tests","gflow","high",1297,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-isometry-deviation.R","tests","gflow","high",98,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-kernel-local-polynomial-cv.R","tests","geosmooth","high",256,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-knn-ann-metric.R","tests","undecided","low",14,"","Needs manual review."
"tests/testthat/test-label-extrema-leaders-3d.R","tests","gflow","high",120,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"tests/testthat/test-lcor-hop-radius.R","tests","gflowx","medium",40,"","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"tests/testthat/test-linf-simplex-knn.R","tests","undecided","low",152,"","Needs manual review."
"tests/testthat/test-local-geodesic-pruning-cpp.R","tests","gflow","high",264,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-local-pca-charts.R","tests","undecided","low",85,"","Needs manual review."
"tests/testthat/test-lpl-tf.R","tests","geosmooth","high",568,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-malps.R","tests","geosmooth","high",1520,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-metric-graph-lowpass.R","tests","geosmooth","high",359,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-mknn-graphs.R","tests","gflow","high",58,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-mst-completion-graphs.R","tests","gflow","high",49,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-nerve-construction.R","tests","gflow","high",283,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-no-msr2-includes.R","tests","undecided","low",16,"","Needs manual review."
"tests/testthat/test-phate-core-embed.R","tests","gflow","high",160,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-phate-phase1-python-kernel.R","tests","gflow","high",73,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-phate-phase2-diffusion-potential.R","tests","gflow","high",129,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-phate-phase3-mds-parity.R","tests","gflow","high",131,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-phate-phase5-embedding-distance-boundary.R","tests","gflow","high",96,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-phate-phase6-python-parity-suite.R","tests","gflow","high",137,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-plot3d-widget-aliases.R","tests","undecided","low",39,"","Needs manual review."
"tests/testthat/test-pttf-fit.R","tests","geosmooth","high",178,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-pttf-geometry.R","tests","geosmooth","high",129,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-pttf-operator.R","tests","geosmooth","high",160,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-quadform-geodesics.R","tests","gflow","high",1029,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-radius-graphs.R","tests","gflow","high",349,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-rdgraph-density-reference-robustness.R","tests","geosmooth","high",92,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"tests/testthat/test-rdgraph-geometric-pruning-switch.R","tests","geosmooth","high",161,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"tests/testthat/test-rdgraph-iknn-invariance.R","tests","geosmooth","high",163,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"tests/testthat/test-rdgraph-precomputed-graph.R","tests","geosmooth","high",293,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"tests/testthat/test-rdgraph-runtime-sanity.R","tests","geosmooth","high",96,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"tests/testthat/test-rdgraph-triangle-policy.R","tests","geosmooth","high",190,"","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"tests/testthat/test-rtcb-basins.R","tests","gflow","high",104,"","Gradient-flow cells, Morse-Smale objects, basins, extrema, or trajectory infrastructure."
"tests/testthat/test-sknn-graphs.R","tests","gflow","high",325,"","Test coverage for graph/geodesic/geometry infrastructure."
"tests/testthat/test-slpl-tf.R","tests","geosmooth","high",403,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-spline-replacements.R","tests","undecided","low",151,"","Needs manual review."
"tests/testthat/test-ssrhe-hessian-energy.R","tests","geosmooth","high",1412,"","Test coverage for smoothing/regression/trend-filtering method."
"tests/testthat/test-subject-neighborhood-stats.R","tests","undecided","low",267,"","Needs manual review."
"tests/testthat/test-tube-lens-corridor.R","tests","undecided","low",61,"","Needs manual review."
"vignettes/noisy_circle_core_workflow_vignette.Rmd","vignettes","shared","medium",569,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"vignettes/retina_single_cell_workflow_vignette.html","vignettes","shared","medium",786,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"vignettes/retina_single_cell_workflow_vignette.Rmd","vignettes","shared","medium",371,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"vignettes/sigmoid_fns_vignette.Rmd","vignettes","shared","medium",208,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
